Feature,Absolute Coefficient
GrLivArea,0.09817665554607939
MSZoning_RL,0.05941003006628424
SaleType_New,0.045187254622382024
HouseAge,0.044560192163170406
LotArea,0.04424902306115128
MSZoning_RM,0.042069393272735435
MSZoning_FV,0.041211086494927766
OverallScore,0.03955878649576352
TotalBsmtSF,0.03832260479546242
TotalBath,0.028563243062532415
Condition1_Norm,0.027832076191677928
BsmtQual_Gd,0.02608705607514565
SaleCondition_Normal,0.02576332178320583
BsmtQual_TA,0.02403209745515622
KitchenQual_Gd,0.02202285363333766
Neighborhood_Crawfor,0.021849120484971132
Neighborhood_StoneBr,0.021739794515652316
YearBuilt,0.02122905237203774
BsmtFinSF1,0.02114990717822
TotRmsAbvGrd,0.020217329024221055
GarageArea,0.019016923595773418
BsmtCond_TA,0.018937911418580297
KitchenQual_TA,0.01885523654901191
Functional_Typ,0.018785438480242975
OverallQual,0.018293753370506934
OverallCond,0.017213786988231148
TotalSF,0.01690610260573568
RemodAge,0.016781388472726488
Heating_Grav,0.015961324837829333
Exterior1st_BrkFace,0.015746582189343626
BsmtExposure_Gd,0.01553702724362355
SaleCondition_Partial,0.015501205250160795
Neighborhood_NridgHt,0.014989435060957216
Fireplaces,0.01486443180962638
GarageCars,0.01442838772347948
Neighborhood_NoRidge,0.014347264571490903
MSZoning_RH,0.014262768176999776
CentralAir_Y,0.013687602633593522
GarageCond_Po,0.01243822875908027
Street_Pave,0.012323959179648788
Foundation_PConc,0.012188235774561297
Neighborhood_BrkSide,0.01170502089062154
PoolArea,0.011490006673812187
BsmtCond_Gd,0.01127367272980021
Neighborhood_Edwards,0.011115588135889814
RoofMatl_WdShngl,0.010891872555074792
BldgType_Duplex,0.010263693352656957
Condition1_Feedr,0.010025491627106232
KitchenAbvGr,0.00987078275955774
Functional_Maj2,0.009853008185932334
WoodDeckSF,0.00970216303424125
Condition1_PosN,0.00921057541640252
Neighborhood_Mitchel,0.009057381486961972
HeatingQC_TA,0.0089302630668765
BedroomAbvGr,0.008158034451040557
Neighborhood_MeadowV,0.008130125996367102
ScreenPorch,0.008101922193095624
Exterior1st_BrkComm,0.008025316302815859
LotConfig_FR2,0.007859244276189304
LandContour_Low,0.007659988186238516
BsmtUnfSF,0.007338446613283508
LandSlope_Sev,0.007305178104422359
Condition2_PosA,0.006869575459654611
LotConfig_Inside,0.006723714065898912
Neighborhood_SWISU,0.006579819298419289
RoofStyle_Shed,0.006460654286578654
Condition1_RRAn,0.006272651581969296
Neighborhood_NWAmes,0.0062531348432522975
Neighborhood_Gilbert,0.0062459607005734665
HeatingQC_Gd,0.00621273802299686
MasVnrType_Stone,0.0061202021379437
LotConfig_CulDSac,0.006117739145325153
SaleCondition_AdjLand,0.006004249082554452
Fence_GdWo,0.005828109825568811
LotFrontage,0.005637818860297621
PavedDrive_Y,0.005607374736794465
LotConfig_FR3,0.005581489288742362
GarageQual_Po,0.0055628387018106795
PoolQC_Gd,0.005512924517878801
Condition1_RRNn,0.005499642241929294
GarageYrBlt,0.005476890011273836
Condition2_Feedr,0.0052638016546188195
KitchenQual_Fa,0.005248152543203901
GarageType_Basment,0.005246937294659599
Condition2_Norm,0.005027316660807674
Condition2_RRAe,0.004939916437454161
BsmtFinType1_LwQ,0.004854389723424738
Foundation_Wood,0.004753171037232711
PoolQC_Fa,0.0046065933992478466
Fence_MnPrv,0.004569313725309666
GarageQual_Fa,0.004509739526756041
MiscFeature_Othr,0.0044944538274655525
Electrical_FuseP,0.0044746451740473965
ExterCond_Gd,0.004439819600493788
Exterior1st_MetalSd,0.004336676771773325
Condition1_RRAe,0.004315081444779916
BsmtFinType2_BLQ,0.004068756301575407
HouseStyle_2.5Fin,0.003969271914412527
SaleType_ConLD,0.003961667197972984
SaleCondition_Alloca,0.00389870571240092
HouseStyle_1.5Unf,0.003762674978536297
SaleType_CWD,0.0037171051454666934
Neighborhood_ClearCr,0.003711529416730654
ExterQual_Fa,0.0036622171154497983
Heating_GasW,0.003562808475812427
BsmtFinType1_Rec,0.0033583651326681303
BldgType_2fmCon,0.003163687106734566
LotShape_Reg,0.003161608711195709
GarageType_CarPort,0.0031569172246648314
Exterior2nd_Other,0.003143944802948753
Exterior1st_HdBoard,0.003138639620679676
GarageType_BuiltIn,0.003051586172010199
BsmtFinType1_GLQ,0.0030089792820077728
Exterior1st_Wd Sdng,0.0029726128927176298
LotShape_IR2,0.002959798845061638
Alley_None,0.0029392179949939957
Fence_None,0.0029312369441598578
LandContour_Lvl,0.0028821040642096315
SaleType_WD,0.0028655620409435093
Neighborhood_Timber,0.002860252492634126
HouseStyle_2.5Unf,0.0028553561896411755
BsmtFinType1_BLQ,0.0028491337969515753
Exterior2nd_Plywood,0.002786424259486941
3SsnPorch,0.0027850255839010005
Exterior2nd_Wd Shng,0.0027648861193494663
HouseStyle_SFoyer,0.002745073168971009
BldgType_Twnhs,0.002692676274638645
Exterior1st_Stucco,0.002639712429970952
Exterior2nd_Stucco,0.0026280931110431393
Exterior2nd_CmentBd,0.002588571293268456
BsmtExposure_No,0.0025701556258171604
1stFlrSF,0.002565393481690271
RoofStyle_Mansard,0.002556095752099096
BsmtHalfBath,0.0025256538116339767
MiscFeature_TenC,0.002516679190082624
Fence_MnWw,0.0025156423178861738
Neighborhood_NPkVill,0.0024727938290843745
RoofMatl_Metal,0.0023716195898099506
Exterior1st_Plywood,0.002339863423064391
FireplaceQu_Po,0.0022899443193269984
RoofStyle_Gable,0.0022648926620374554
Functional_Min1,0.002251988956140875
Neighborhood_IDOTRR,0.002231191593598272
BsmtFinType2_LwQ,0.0021648627466059485
ExterCond_Po,0.0021161294624949456
BsmtQual_Fa,0.002112935013185153
Condition2_RRNn,0.002106878459872192
Alley_Pave,0.002079415559013183
BsmtFinType2_Rec,0.0020608345100339015
BsmtFinType2_GLQ,0.002044441876003048
SaleType_Oth,0.002034484376411725
Functional_Mod,0.0020080044479933424
SaleType_Con,0.002006805800427379
BsmtQual_None,0.0019774469357897112
Condition1_RRNe,0.0018654836819273655
LotShape_IR3,0.0018468265506191748
GarageCond_Fa,0.001823611204804561
Utilities_NoSeWa,0.0017843919415217427
Electrical_SBrkr,0.0017515038123106594
